,date,home_team,score,away_team
0,12-08-2023,Arsenal,2 - 1,Nott'm Forest
1,21-08-2023,Crystal Palace,0 - 1,Arsenal
2,26-08-2023,Arsenal,2 - 2,Fulham
3,03-09-2023,Arsenal,3 - 1,Man United
4,17-09-2023,Everton,0 - 1,Arsenal
5,24-09-2023,Arsenal,2 - 2,Tottenham
6,30-09-2023,Bournemouth,0 - 4,Arsenal
7,08-10-2023,Arsenal,1 - 0,Man City
8,21-10-2023,Chelsea,2 - 2,Arsenal
9,28-10-2023,Arsenal,5 - 0,Sheffield United
10,04-11-2023,Newcastle,1 - 0,Arsenal
11,11-11-2023,Arsenal,3 - 1,Burnley
12,25-11-2023,Brentford,0 - 1,Arsenal
13,02-12-2023,Arsenal,2 - 1,Wolves
14,05-12-2023,Luton,3 - 4,Arsenal
15,09-12-2023,Aston Villa,1 - 0,Arsenal
16,17-12-2023,Arsenal,2 - 0,Brighton
17,23-12-2023,Liverpool,1 - 1,Arsenal
18,28-12-2023,Arsenal,0 - 2,West Ham
19,31-12-2023,Fulham,2 - 1,Arsenal
20,20-01-2024,Arsenal,? - ?,Crystal Palace
21,12-08-2023,Newcastle,5 - 1,Aston Villa
22,20-08-2023,Aston Villa,4 - 0,Everton
23,27-08-2023,Burnley,1 - 3,Aston Villa
24,03-09-2023,Liverpool,3 - 0,Aston Villa
25,16-09-2023,Aston Villa,3 - 1,Crystal Palace
26,24-09-2023,Chelsea,0 - 1,Aston Villa
27,30-09-2023,Aston Villa,6 - 1,Brighton
28,08-10-2023,Wolves,1 - 1,Aston Villa
29,22-10-2023,Aston Villa,4 - 1,West Ham
30,29-10-2023,Aston Villa,3 - 1,Luton
31,05-11-2023,Nott'm Forest,2 - 0,Aston Villa
32,12-11-2023,Aston Villa,3 - 1,Fulham
33,26-11-2023,Tottenham,1 - 2,Aston Villa
34,03-12-2023,Bournemouth,2 - 2,Aston Villa
35,06-12-2023,Aston Villa,1 - 0,Man City
36,09-12-2023,Aston Villa,1 - 0,Arsenal
37,17-12-2023,Brentford,1 - 2,Aston Villa
38,22-12-2023,Aston Villa,1 - 1,Sheffield United
39,26-12-2023,Man United,3 - 2,Aston Villa
40,30-12-2023,Aston Villa,3 - 2,Burnley
41,14-01-2024,Everton,0 - 0,Aston Villa
42,12-08-2023,Bournemouth,1 - 1,West Ham
43,19-08-2023,Liverpool,3 - 1,Bournemouth
44,26-08-2023,Bournemouth,0 - 2,Tottenham
45,02-09-2023,Brentford,2 - 2,Bournemouth
46,17-09-2023,Bournemouth,0 - 0,Chelsea
47,24-09-2023,Brighton,3 - 1,Bournemouth
48,30-09-2023,Bournemouth,0 - 4,Arsenal
49,07-10-2023,Everton,3 - 0,Bournemouth
50,21-10-2023,Bournemouth,1 - 2,Wolves
51,28-10-2023,Bournemouth,2 - 1,Burnley
52,04-11-2023,Man City,6 - 1,Bournemouth
53,11-11-2023,Bournemouth,2 - 0,Newcastle
54,25-11-2023,Sheffield United,1 - 3,Bournemouth
55,03-12-2023,Bournemouth,2 - 2,Aston Villa
56,06-12-2023,Crystal Palace,0 - 2,Bournemouth
57,09-12-2023,Man United,0 - 3,Bournemouth
58,23-12-2023,Nott'm Forest,2 - 3,Bournemouth
59,26-12-2023,Bournemouth,3 - 0,Fulham
60,31-12-2023,Tottenham,3 - 1,Bournemouth
61,21-01-2024,Bournemouth,? - ?,Liverpool
62,13-08-2023,Brentford,2 - 2,Tottenham
63,19-08-2023,Fulham,0 - 3,Brentford
64,26-08-2023,Brentford,1 - 1,Crystal Palace
65,02-09-2023,Brentford,2 - 2,Bournemouth
66,16-09-2023,Newcastle,1 - 0,Brentford
67,23-09-2023,Brentford,1 - 3,Everton
68,01-10-2023,Nott'm Forest,1 - 1,Brentford
69,07-10-2023,Man United,2 - 1,Brentford
70,21-10-2023,Brentford,3 - 0,Burnley
71,28-10-2023,Chelsea,0 - 2,Brentford
72,04-11-2023,Brentford,3 - 2,West Ham
73,12-11-2023,Liverpool,3 - 0,Brentford
74,25-11-2023,Brentford,0 - 1,Arsenal
75,02-12-2023,Brentford,3 - 1,Luton
76,06-12-2023,Brighton,2 - 1,Brentford
77,09-12-2023,Sheffield United,1 - 0,Brentford
78,17-12-2023,Brentford,1 - 2,Aston Villa
79,27-12-2023,Brentford,1 - 4,Wolves
80,30-12-2023,Crystal Palace,3 - 1,Brentford
81,20-01-2024,Brentford,? - ?,Nott'm Forest
82,12-08-2023,Brighton,4 - 1,Luton
83,19-08-2023,Wolves,1 - 4,Brighton
84,26-08-2023,Brighton,1 - 3,West Ham
85,02-09-2023,Brighton,3 - 1,Newcastle
86,16-09-2023,Man United,1 - 3,Brighton
87,24-09-2023,Brighton,3 - 1,Bournemouth
88,30-09-2023,Aston Villa,6 - 1,Brighton
89,08-10-2023,Brighton,2 - 2,Liverpool
90,21-10-2023,Man City,2 - 1,Brighton
91,29-10-2023,Brighton,1 - 1,Fulham
92,04-11-2023,Everton,1 - 1,Brighton
93,12-11-2023,Brighton,1 - 1,Sheffield United
94,25-11-2023,Nott'm Forest,2 - 3,Brighton
95,03-12-2023,Chelsea,3 - 2,Brighton
96,06-12-2023,Brighton,2 - 1,Brentford
97,09-12-2023,Brighton,1 - 1,Burnley
98,17-12-2023,Arsenal,2 - 0,Brighton
99,21-12-2023,Crystal Palace,1 - 1,Brighton
100,28-12-2023,Brighton,4 - 2,Tottenham
101,02-01-2024,West Ham,0 - 0,Brighton
102,22-01-2024,Brighton,? - ?,Wolves
103,11-08-2023,Burnley,0 - 3,Man City
104,27-08-2023,Burnley,1 - 3,Aston Villa
105,02-09-2023,Burnley,2 - 5,Tottenham
106,18-09-2023,Nott'm Forest,1 - 1,Burnley
107,23-09-2023,Burnley,0 - 1,Man United
108,30-09-2023,Newcastle,2 - 0,Burnley
109,03-10-2023,Luton,1 - 2,Burnley
110,07-10-2023,Burnley,1 - 4,Chelsea
111,21-10-2023,Brentford,3 - 0,Burnley
112,28-10-2023,Bournemouth,2 - 1,Burnley
113,04-11-2023,Burnley,0 - 2,Crystal Palace
114,11-11-2023,Arsenal,3 - 1,Burnley
115,25-11-2023,Burnley,1 - 2,West Ham
116,02-12-2023,Burnley,5 - 0,Sheffield United
117,05-12-2023,Wolves,1 - 0,Burnley
118,09-12-2023,Brighton,1 - 1,Burnley
119,16-12-2023,Burnley,0 - 2,Everton
120,23-12-2023,Fulham,0 - 2,Burnley
121,26-12-2023,Burnley,0 - 2,Liverpool
122,30-12-2023,Aston Villa,3 - 2,Burnley
123,12-01-2024,Burnley,1 - 1,Luton
124,13-08-2023,Chelsea,1 - 1,Liverpool
125,20-08-2023,West Ham,3 - 1,Chelsea
126,25-08-2023,Chelsea,3 - 0,Luton
127,02-09-2023,Chelsea,0 - 1,Nott'm Forest
128,17-09-2023,Bournemouth,0 - 0,Chelsea
129,24-09-2023,Chelsea,0 - 1,Aston Villa
130,02-10-2023,Fulham,0 - 2,Chelsea
131,07-10-2023,Burnley,1 - 4,Chelsea
132,21-10-2023,Chelsea,2 - 2,Arsenal
133,28-10-2023,Chelsea,0 - 2,Brentford
134,06-11-2023,Tottenham,1 - 4,Chelsea
135,12-11-2023,Chelsea,4 - 4,Man City
136,25-11-2023,Newcastle,4 - 1,Chelsea
137,03-12-2023,Chelsea,3 - 2,Brighton
138,06-12-2023,Man United,2 - 1,Chelsea
139,10-12-2023,Everton,2 - 0,Chelsea
140,16-12-2023,Chelsea,2 - 0,Sheffield United
141,24-12-2023,Wolves,2 - 1,Chelsea
142,27-12-2023,Chelsea,2 - 1,Crystal Palace
143,30-12-2023,Luton,2 - 3,Chelsea
144,13-01-2024,Chelsea,1 - 0,Fulham
145,12-08-2023,Sheffield United,0 - 1,Crystal Palace
146,21-08-2023,Crystal Palace,0 - 1,Arsenal
147,26-08-2023,Brentford,1 - 1,Crystal Palace
148,03-09-2023,Crystal Palace,3 - 2,Wolves
149,16-09-2023,Aston Villa,3 - 1,Crystal Palace
150,23-09-2023,Crystal Palace,0 - 0,Fulham
151,30-09-2023,Man United,0 - 1,Crystal Palace
152,07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
153,21-10-2023,Newcastle,4 - 0,Crystal Palace
154,27-10-2023,Crystal Palace,1 - 2,Tottenham
155,04-11-2023,Burnley,0 - 2,Crystal Palace
156,11-11-2023,Crystal Palace,2 - 3,Everton
157,25-11-2023,Luton,2 - 1,Crystal Palace
158,03-12-2023,West Ham,1 - 1,Crystal Palace
159,06-12-2023,Crystal Palace,0 - 2,Bournemouth
160,09-12-2023,Crystal Palace,1 - 2,Liverpool
161,16-12-2023,Man City,2 - 2,Crystal Palace
162,21-12-2023,Crystal Palace,1 - 1,Brighton
163,27-12-2023,Chelsea,2 - 1,Crystal Palace
164,30-12-2023,Crystal Palace,3 - 1,Brentford
165,20-01-2024,Arsenal,? - ?,Crystal Palace
166,12-08-2023,Everton,0 - 1,Fulham
167,20-08-2023,Aston Villa,4 - 0,Everton
168,26-08-2023,Everton,0 - 1,Wolves
169,02-09-2023,Sheffield United,2 - 2,Everton
170,17-09-2023,Everton,0 - 1,Arsenal
171,23-09-2023,Brentford,1 - 3,Everton
172,30-09-2023,Everton,1 - 2,Luton
173,07-10-2023,Everton,3 - 0,Bournemouth
174,21-10-2023,Liverpool,2 - 0,Everton
175,29-10-2023,West Ham,0 - 1,Everton
176,04-11-2023,Everton,1 - 1,Brighton
177,11-11-2023,Crystal Palace,2 - 3,Everton
178,26-11-2023,Everton,0 - 3,Man United
179,02-12-2023,Nott'm Forest,0 - 1,Everton
180,07-12-2023,Everton,3 - 0,Newcastle
181,10-12-2023,Everton,2 - 0,Chelsea
182,16-12-2023,Burnley,0 - 2,Everton
183,23-12-2023,Tottenham,2 - 1,Everton
184,27-12-2023,Everton,1 - 3,Man City
185,30-12-2023,Wolves,3 - 0,Everton
186,14-01-2024,Everton,0 - 0,Aston Villa
187,12-08-2023,Everton,0 - 1,Fulham
188,19-08-2023,Fulham,0 - 3,Brentford
189,26-08-2023,Arsenal,2 - 2,Fulham
190,02-09-2023,Man City,5 - 1,Fulham
191,16-09-2023,Fulham,1 - 0,Luton
192,23-09-2023,Crystal Palace,0 - 0,Fulham
193,02-10-2023,Fulham,0 - 2,Chelsea
194,07-10-2023,Fulham,3 - 1,Sheffield United
195,23-10-2023,Tottenham,2 - 0,Fulham
196,29-10-2023,Brighton,1 - 1,Fulham
197,04-11-2023,Fulham,0 - 1,Man United
198,12-11-2023,Aston Villa,3 - 1,Fulham
199,27-11-2023,Fulham,3 - 2,Wolves
200,03-12-2023,Liverpool,4 - 3,Fulham
201,06-12-2023,Fulham,5 - 0,Nott'm Forest
202,10-12-2023,Fulham,5 - 0,West Ham
203,16-12-2023,Newcastle,3 - 0,Fulham
204,23-12-2023,Fulham,0 - 2,Burnley
205,26-12-2023,Bournemouth,3 - 0,Fulham
206,31-12-2023,Fulham,2 - 1,Arsenal
207,13-01-2024,Chelsea,1 - 0,Fulham
208,13-08-2023,Chelsea,1 - 1,Liverpool
209,19-08-2023,Liverpool,3 - 1,Bournemouth
210,27-08-2023,Newcastle,1 - 2,Liverpool
211,03-09-2023,Liverpool,3 - 0,Aston Villa
212,16-09-2023,Wolves,1 - 3,Liverpool
213,24-09-2023,Liverpool,3 - 1,West Ham
214,30-09-2023,Tottenham,2 - 1,Liverpool
215,08-10-2023,Brighton,2 - 2,Liverpool
216,21-10-2023,Liverpool,2 - 0,Everton
217,29-10-2023,Liverpool,3 - 0,Nott'm Forest
218,05-11-2023,Luton,1 - 1,Liverpool
219,12-11-2023,Liverpool,3 - 0,Brentford
220,25-11-2023,Man City,1 - 1,Liverpool
221,03-12-2023,Liverpool,4 - 3,Fulham
222,06-12-2023,Sheffield United,0 - 2,Liverpool
223,09-12-2023,Crystal Palace,1 - 2,Liverpool
224,17-12-2023,Liverpool,0 - 0,Man United
225,23-12-2023,Liverpool,1 - 1,Arsenal
226,26-12-2023,Burnley,0 - 2,Liverpool
227,01-01-2024,Liverpool,4 - 2,Newcastle
228,21-01-2024,Bournemouth,? - ?,Liverpool
229,12-08-2023,Brighton,4 - 1,Luton
230,25-08-2023,Chelsea,3 - 0,Luton
231,01-09-2023,Luton,1 - 2,West Ham
232,16-09-2023,Fulham,1 - 0,Luton
233,23-09-2023,Luton,1 - 1,Wolves
234,30-09-2023,Everton,1 - 2,Luton
235,03-10-2023,Luton,1 - 2,Burnley
236,07-10-2023,Luton,0 - 1,Tottenham
237,21-10-2023,Nott'm Forest,2 - 2,Luton
238,29-10-2023,Aston Villa,3 - 1,Luton
239,05-11-2023,Luton,1 - 1,Liverpool
240,11-11-2023,Man United,1 - 0,Luton
241,25-11-2023,Luton,2 - 1,Crystal Palace
242,02-12-2023,Brentford,3 - 1,Luton
243,05-12-2023,Luton,3 - 4,Arsenal
244,10-12-2023,Luton,1 - 2,Man City
245,23-12-2023,Luton,1 - 0,Newcastle
246,26-12-2023,Sheffield United,2 - 3,Luton
247,30-12-2023,Luton,2 - 3,Chelsea
248,12-01-2024,Burnley,1 - 1,Luton
249,11-08-2023,Burnley,0 - 3,Man City
250,19-08-2023,Man City,1 - 0,Newcastle
251,27-08-2023,Sheffield United,1 - 2,Man City
252,02-09-2023,Man City,5 - 1,Fulham
253,16-09-2023,West Ham,1 - 3,Man City
254,23-09-2023,Man City,2 - 0,Nott'm Forest
255,30-09-2023,Wolves,2 - 1,Man City
256,08-10-2023,Arsenal,1 - 0,Man City
257,21-10-2023,Man City,2 - 1,Brighton
258,29-10-2023,Man United,0 - 3,Man City
259,04-11-2023,Man City,6 - 1,Bournemouth
260,12-11-2023,Chelsea,4 - 4,Man City
261,25-11-2023,Man City,1 - 1,Liverpool
262,03-12-2023,Man City,3 - 3,Tottenham
263,06-12-2023,Aston Villa,1 - 0,Man City
264,10-12-2023,Luton,1 - 2,Man City
265,16-12-2023,Man City,2 - 2,Crystal Palace
266,27-12-2023,Everton,1 - 3,Man City
267,30-12-2023,Man City,2 - 0,Sheffield United
268,13-01-2024,Newcastle,2 - 3,Man City
269,14-08-2023,Man United,1 - 0,Wolves
270,19-08-2023,Tottenham,2 - 0,Man United
271,26-08-2023,Man United,3 - 2,Nott'm Forest
272,03-09-2023,Arsenal,3 - 1,Man United
273,16-09-2023,Man United,1 - 3,Brighton
274,23-09-2023,Burnley,0 - 1,Man United
275,30-09-2023,Man United,0 - 1,Crystal Palace
276,07-10-2023,Man United,2 - 1,Brentford
277,21-10-2023,Sheffield United,1 - 2,Man United
278,29-10-2023,Man United,0 - 3,Man City
279,04-11-2023,Fulham,0 - 1,Man United
280,11-11-2023,Man United,1 - 0,Luton
281,26-11-2023,Everton,0 - 3,Man United
282,02-12-2023,Newcastle,1 - 0,Man United
283,06-12-2023,Man United,2 - 1,Chelsea
284,09-12-2023,Man United,0 - 3,Bournemouth
285,17-12-2023,Liverpool,0 - 0,Man United
286,23-12-2023,West Ham,2 - 0,Man United
287,26-12-2023,Man United,3 - 2,Aston Villa
288,30-12-2023,Nott'm Forest,2 - 1,Man United
289,14-01-2024,Man United,2 - 2,Tottenham
290,12-08-2023,Newcastle,5 - 1,Aston Villa
291,19-08-2023,Man City,1 - 0,Newcastle
292,27-08-2023,Newcastle,1 - 2,Liverpool
293,02-09-2023,Brighton,3 - 1,Newcastle
294,16-09-2023,Newcastle,1 - 0,Brentford
295,24-09-2023,Sheffield United,0 - 8,Newcastle
296,30-09-2023,Newcastle,2 - 0,Burnley
297,08-10-2023,West Ham,2 - 2,Newcastle
298,21-10-2023,Newcastle,4 - 0,Crystal Palace
299,28-10-2023,Wolves,2 - 2,Newcastle
300,04-11-2023,Newcastle,1 - 0,Arsenal
301,11-11-2023,Bournemouth,2 - 0,Newcastle
302,25-11-2023,Newcastle,4 - 1,Chelsea
303,02-12-2023,Newcastle,1 - 0,Man United
304,07-12-2023,Everton,3 - 0,Newcastle
305,10-12-2023,Tottenham,4 - 1,Newcastle
306,16-12-2023,Newcastle,3 - 0,Fulham
307,23-12-2023,Luton,1 - 0,Newcastle
308,26-12-2023,Newcastle,1 - 3,Nott'm Forest
309,01-01-2024,Liverpool,4 - 2,Newcastle
310,13-01-2024,Newcastle,2 - 3,Man City
311,12-08-2023,Arsenal,2 - 1,Nott'm Forest
312,18-08-2023,Nott'm Forest,2 - 1,Sheffield United
